pay_stay_zone,day_of_week,start_time,end_time,minimum_stay,maximum_stay,cost_per_hour
30001075,5,7:30,18:30,0,120,320
30001075,6,7:30,18:30,0,120,320
30001075,7,7:30,12:30,0,120,320
30001076,2,7:30,18:30,0,120,320
30001076,3,7:30,18:30,0,120,320
30001076,4,7:30,18:30,0,120,320
30001076,5,7:30,18:30,0,120,320
30001076,6,7:30,18:30,0,120,320
30001076,7,7:30,12:30,0,120,320
30001077,2,7:30,18:30,0,660,80
30001077,3,7:30,18:30,0,660,80
30001077,4,7:30,18:30,0,660,80
30001077,5,7:30,18:30,0,660,80
30001077,6,7:30,18:30,0,660,80
30001077,7,7:30,12:30,0,660,80
30001078,2,7:30,18:30,0,120,320
30001078,3,7:30,18:30,0,120,320
30001078,4,7:30,18:30,0,120,320
30001078,5,7:30,18:30,0,120,320
30001078,6,7:30,18:30,0,120,320
30001078,7,7:30,12:30,0,120,320
30001079,2,7:30,18:30,0,240,170
30001079,3,7:30,18:30,0,240,170
30001079,4,7:30,18:30,0,240,170
30001079,5,7:30,18:30,0,240,170
30001079,6,7:30,18:30,0,240,170
30001081,2,7:30,18:30,0,120,320
30001081,3,7:30,18:30,0,120,320
30001081,4,7:30,18:30,0,120,320
30001081,5,7:30,18:30,0,120,320
30001081,6,7:30,18:30,0,120,320
30001081,7,7:30,12:30,0,120,320
30001082,2,7:30,18:30,0,660,80
30001082,3,7:30,18:30,0,660,80
30001082,4,7:30,18:30,0,660,80
30001082,5,7:30,18:30,0,660,80
30001082,6,7:30,18:30,0,660,80
30001082,7,7:30,12:30,0,660,80
30001083,2,7:30,18:30,0,120,320
30001083,3,7:30,18:30,0,120,320
30001083,4,7:30,18:30,0,120,320
30001083,5,7:30,18:30,0,120,320
30001083,6,7:30,18:30,0,120,320
30001083,7,7:30,12:30,0,120,320
30001084,2,7:30,18:30,0,120,320
30001084,3,7:30,18:30,0,120,320
30001084,4,7:30,18:30,0,120,320
30001084,5,7:30,18:30,0,120,320
30001084,6,7:30,18:30,0,120,320
30001084,7,7:30,12:30,0,120,320
30001085,2,7:30,18:30,0,30,320
30001085,3,7:30,18:30,0,30,320
30001085,4,7:30,18:30,0,30,320
30001085,5,7:30,18:30,0,30,320
30001085,6,7:30,18:30,0,30,320
30001085,7,7:30,12:30,0,30,320
30001086,2,7:30,18:30,0,60,320
30001086,3,7:30,18:30,0,60,320
30001086,4,7:30,18:30,0,60,320
30001086,5,7:30,18:30,0,60,320
30001086,6,7:30,18:30,0,60,320
30001086,7,7:30,12:30,0,60,320
30001087,2,7:30,18:30,0,120,320
30001087,3,7:30,18:30,0,120,320
30001087,4,7:30,18:30,0,120,320
30001087,5,7:30,18:30,0,120,320
30001087,6,7:30,18:30,0,120,320
30001087,7,7:30,12:30,0,120,320
30001088,2,7:30,18:30,0,240,170
30001088,3,7:30,18:30,0,240,170
30001088,4,7:30,18:30,0,240,170
30001088,5,7:30,18:30,0,240,170
30001088,6,7:30,18:30,0,240,170
30001088,7,7:30,12:30,0,240,170
30001089,2,7:30,18:30,0,120,320
30001089,3,7:30,18:30,0,120,320
30001089,4,7:30,18:30,0,120,320
30001089,5,7:30,18:30,0,120,320
30001089,6,7:30,18:30,0,120,320
30001089,7,7:30,12:30,0,120,320
30001090,2,7:30,18:30,0,660,80
30001090,3,7:30,18:30,0,660,80
30001090,4,7:30,18:30,0,660,80
30001090,5,7:30,18:30,0,660,80
30001090,6,7:30,18:30,0,660,80
30001090,7,7:30,12:30,0,660,80
30001091,2,7:30,18:30,0,120,320
30001091,3,7:30,18:30,0,120,320
30001091,4,7:30,18:30,0,120,320
30001091,5,7:30,18:30,0,120,320
30001091,6,7:30,18:30,0,120,320
30001091,7,7:30,12:30,0,120,320
30001092,2,7:30,18:30,0,660,80
30001092,3,7:30,18:30,0,660,80
30001092,4,7:30,18:30,0,660,80
30001092,5,7:30,18:30,0,660,80
30001092,6,7:30,18:30,0,660,80
30001092,7,7:30,12:30,0,660,80
30001093,2,7:30,18:30,0,240,240
30001093,3,7:30,18:30,0,240,240
30001093,4,7:30,18:30,0,240,240
30001093,5,7:30,18:30,0,240,240
30001093,6,7:30,18:30,0,240,240
30001093,7,7:30,12:30,0,240,240
30001094,2,7:30,18:30,0,60,320
30001094,3,7:30,18:30,0,60,320
30001094,4,7:30,18:30,0,60,320
30001094,5,7:30,18:30,0,60,320
30001094,6,7:30,18:30,0,60,320
30001094,7,7:30,12:30,0,60,320
30001095,2,7:30,18:30,0,60,320
30001095,3,7:30,18:30,0,60,320
30001095,4,7:30,18:30,0,60,320
30001095,5,7:30,18:30,0,60,320
30001095,6,7:30,18:30,0,60,320
30001095,7,7:30,12:30,0,60,320
30001096,2,7:30,18:30,0,120,320
30001096,3,7:30,18:30,0,120,320
30001096,4,7:30,18:30,0,120,320
30001096,5,7:30,18:30,0,120,320
30001096,6,7:30,18:30,0,120,320
30001096,7,7:30,12:30,0,120,320
30001097,2,7:30,18:30,0,60,320
30001097,3,7:30,18:30,0,60,320
30001097,4,7:30,18:30,0,60,320
30001097,5,7:30,18:30,0,60,320
30001097,6,7:30,18:30,0,60,320
30001097,7,7:30,12:30,0,60,320
30001098,2,7:30,18:30,0,180,240
30001098,3,7:30,18:30,0,180,240
