marker_id,maximum_stay,cost_per_hour
13430E,120,320
13458E,120,320
C18060,120,320
18024E,120,320
C18104,120,320
C18056,120,320
18017W,120,320
18043W,120,320
C18192,120,320
C18184,120,320
C18048,120,320
C18128,120,320
C18124,120,320
18014E,120,320
C18108,120,320
18002E,120,320
C18140,120,320
C18132,120,320
18001W,120,320
18033W,120,320
18019W,120,320
18009W,120,320
18041W,120,320
C18088,120,320
C18092,120,320
C18136,120,320
18004E,120,320
C18180,120,320
C18112,120,320
18035W,120,320
C18160,120,320
C18172,120,320
18000E,120,320
C18188,120,320
C18072,120,320
18032E,120,320
18038E,120,320
18026E,120,320
C18116,120,320
C18100,120,320
18005W,120,320
C18164,120,320
C18144,120,320
18040E,120,320
C18156,120,320
18010E,120,320
C18044,120,320
18021W,120,320
C18196,120,320
C18152,120,320
18034E,120,320
18007W,120,320
C18076,120,320
C18176,120,320
18036E,120,320
18030E,120,320
18023W,120,320
C18168,120,320
C18052,120,320
18012E,120,320
C18068,120,320
8789W,60,550
8779W,60,550
8810E,60,550
8818E,60,550
8812E,60,550
8814E,60,550
8808E,60,550
8816E,60,550
8787W,60,550
8785W,60,550
8781W,60,550
8783W,60,550
8777W,60,550
C1082,60,550
C1086,60,550
C1088,60,550
C1104,60,550
C1100,60,550
C1080,60,550
C1098,60,550
C1084,60,550
C1106,60,550
C1108,60,550
C1102,60,550
9065S,660,80
9047S,660,80
9043S,660,80
9029S,660,80
9045S,660,80
9061S,660,80
9069S,660,80
9051S,660,80
9059S,660,80
9039S,660,80
9027S,660,80
9033S,660,80
9071S,660,80
9049S,660,80
9063S,660,80
9035S,660,80
9067S,660,80
9031S,660,80
9037S,660,80
9055S,660,80
9025S,660,80
9041S,660,80
9053S,660,80
9057S,660,80
C5450,120,320
C5478,120,320
5464E,120,320
5461W,120,320
C5506,120,320
C5454,120,320
C5470,120,320
5460E,120,320
5472E,120,320
C5500,120,320
C5458,120,320
C5448,120,320
5457W,120,320
5480E,120,320
5463W,120,320
5476E,120,320
C5494,120,320
C5498,120,320
C5466,120,320
5449W,120,320
5491W,120,320
C5456,120,320
C5474,120,320
C5486,120,320
C5502,120,320
C5510,120,320
C5508,120,320
5512E,120,320
C5462,120,320
5447W,120,320
5468E,120,320
C5490,120,320
C5504,120,320
5459W,120,320
C5452,120,320
5451W,120,320
C5482,120,320
13026N,60,320
13024N,60,320
13039S,60,320
13043S,60,320
13018N,60,320
13041S,60,320
13022N,60,320
13035S,60,320
13037S,60,320
13035S,60,320
13020N,60,320
12096E,120,320
12068E,120,320
12080E,120,320
12086E,120,320
12082E,120,320
12104E,120,320
12102E,120,320
12098E,120,320
12076E,120,320
12100E,120,320
12078E,120,320
12084E,120,320
12094E,120,320
12088E,120,320
12072E,120,320
12106E,120,320
12074E,120,320
12070E,120,320
12092E,120,320
12090E,120,320
C8044,60,320
C8050,60,320
C8066,60,320
C8074,60,320
C8062,60,320
C8016,60,320
C8014,60,320
C8060,60,320
11603S,60,320
C8028,60,320
C8020,60,320
C8012,60,320
C8042,60,320
C8030,60,320
C8010,60,320
C8046,60,320
11600N,60,320
11607S,60,320
C8036,60,320
C8040,60,320
C8038,60,320
11605S,60,320
C8070,60,320
C8056,60,320
C8048,60,320
C8054,60,320
C8058,60,320
C8034,60,320
C8052,60,320
C8022,60,320
C8068,60,320
C8032,60,320
C8026,60,320
C8072,60,320
C8004,60,320
C8006,60,320
C8064,60,320
C8008,60,320
C8018,60,320
11601S,60,320
13391W,120,320
13399W,120,320
13395W,120,320
13405W,120,320
13401W,120,320
13381W,120,320
13385W,120,320
13389W,120,320
13403W,120,320
13393W,120,320
13383W,120,320
13397W,120,320
13379W,120,320
3279S,30,540
C3248,30,540
3269S,30,540
C3252,30,540
3250N,30,540
3170N,30,540
C3162,30,540
3209S,30,540
C3234,30,540
C3232,30,540
C3256,30,540
3190N,30,540
3242N,30,540
C3154,30,540
3161S,30,540
C3260,30,540
C3172,30,540
C3168,30,540
3258N,30,540
C3176,30,540
C3268,30,540
3277S,30,540
3163S,30,540
3182N,30,540
C3160,30,540
C3244,30,540
3198N,30,540
3197S,30,540
C3272,30,540
C3158,30,540
C3164,30,540
3194N,30,540
C3184,30,540
3186N,30,540
C3264,30,540
C3180,30,540
C3280,30,540
3266N,30,540
3165S,30,540
3246N,30,540
3271S,30,540
3275S,30,540
C3236,30,540
3166N,30,540
3281S,30,540
C3156,30,540
3273S,30,540
C3240,30,540
C3276,30,540
2376N,60,550
2373S,60,550
2371S,60,550
2369S,60,550
2357S,60,550
2374N,60,550
2363S,60,550
2361S,60,550
2365S,60,550
2381S,60,550
2359S,60,550
2367S,60,550
2375S,60,550
C7200,240,170
C7220,240,170
C7224,240,170
C7244,240,170
C7206,240,170
C7212,240,170
C7222,240,170
C7232,240,170
C7198,240,170
C7186,240,170
C7180,240,170
C7242,240,170
C7178,240,170
C7190,240,170
C7182,240,170
C7234,240,170
C7246,240,170
C7236,240,170
C7204,240,170
C7184,240,170
C7214,240,170
C7208,240,170
C7216,240,170
C7228,240,170
C7240,240,170
C7210,240,170
C7226,240,170
C7192,240,170
C7176,240,170
C7174,240,170
C7230,240,170
C7196,240,170
C7188,240,170
C7202,240,170
C7194,240,170
C7218,240,170
C7238,240,170
C5930,240,170
C5918,240,170
C5958,240,170
C5916,240,170
C5966,240,170
C5956,240,170
C5926,240,170
C5864,240,170
C5938,240,170
C5936,240,170
C5914,240,170
C5962,240,170
C5886,240,170
C5860,240,170
C5902,240,170
C5870,240,170
C5920,240,170
C5862,240,170
C5924,240,170
C5890,240,170
C5856,240,170
C5934,240,170
C5898,240,170
C5904,240,170
C5954,240,170
C5942,240,170
C5940,240,170
C5910,240,170
C5950,240,170
C5964,240,170
C5946,240,170
C5892,240,170
C5932,240,170
C5944,240,170
C5872,240,170
C5922,240,170
C5900,240,170
C5878,240,170
C5960,240,170
C5882,240,170
C5952,240,170
C5880,240,170
C5894,240,170
C5858,240,170
C5876,240,170
C5854,240,170
C5908,240,170
C5888,240,170
C5868,240,170
C5906,240,170
C5874,240,170
C862,120,550
844E,120,550
C878,120,550
C874,120,550
C850,120,550
880E,120,550
C870,120,550
C890,120,550
C846,120,550
C882,120,550
C842,120,550
C866,120,550
C886,120,550
852E,120,550
C854,120,550
848E,120,550
C858,120,550
1843S,30,550
1835S,30,550
1837S,30,550
1845S,30,550
1841S,30,550
1839S,30,550
1481W,120,550
1494E,120,550
1492E,120,550
1487W,120,550
1490E,120,550
1489W,120,550
1483W,120,550
1485W,120,550
781W,30,540
771W,30,540
769W,30,540
770E,30,540
780E,30,540
779W,30,540
775W,30,540
783W,30,540
767Wa,30,540
773W,30,540
7869W,120,320
7857W,120,320
7863W,120,320
7861W,120,320
7855W,120,320
7865W,120,320
7859W,120,320
7867W,120,320
8334E,120,320
8340E,120,320
8354E,120,320
8329W,120,320
8356E,120,320
8337W,120,320
8310E,120,320
8347W,120,320
8304E,120,320
8311W,120,320
8338E,120,320
8317W,120,320
8325W,120,320
8352E,120,320
8323W,120,320
8345W,120,320
8322E,120,320
8341W,120,320
8324E,120,320
8306E,120,320
8319W,120,320
8320E,120,320
8332E,120,320
8342E,120,320
8316E,120,320
8330E,120,320
8331W,120,320
8318E,120,320
8315W,120,320
8312E,120,320
8314E,120,320
8343W,120,320
8346E,120,320
8321W,120,320
8344E,120,320
8328E,120,320
8333W,120,320
8308E,120,320
8336E,120,320
8326E,120,320
8335W,120,320
11873W,60,320
11877W,60,320
11879W,60,320
11875W,60,320
11871W,60,320
78E,120,550
79W,120,550
69W,120,550
65W,120,550
77W,120,550
71W,120,550
73W,120,550
72E,120,550
67W,120,550
74E,120,550
75W,120,550
76E,120,550
C1109,30,540
C1121,30,540
C1111,30,540
1116E,30,540
C1113,30,540
C1107,30,540
1114E,30,540
C1117,30,540
C1119,30,540
1112E,30,540
C1115,30,540
C1123,30,540
9220N,60,320
9224N,60,320
9230N,60,320
9198N,60,320
9216N,60,320
9214N,60,320
9200N,60,320
9206N,60,320
9192N,60,320
9196N,60,320
9234N,60,320
9218N,60,320
9232N,60,320
9228N,60,320
9222N,60,320
9204N,60,320
9212N,60,320
9210N,60,320
9194N,60,320
9190N,60,320
9226N,60,320
9188N,60,320
9208N,60,320
13751W,120,320
13770E,120,320
13778E,120,320
13777W,120,320
13749W,120,320
13755W,120,320
13794E,120,320
13741W,120,320
13757W,120,320
13786E,120,320
13774E,120,320
13780E,120,320
13768E,120,320
13796E,120,320
13776E,120,320
13784E,120,320
13782E,120,320
13775W,120,320
13743W,120,320
13773W,120,320
13769W,120,320
13771W,120,320
13772E,120,320
13741W,120,320
13753W,120,320
12346N,60,320
12366N,60,320
12360N,60,320
12348N,60,320
12358N,60,320
12344N,60,320
12089W,120,320
12095W,120,320
12079W,120,320
12093W,120,320
